Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P05771	PKC[beta]	AGC	PKC	2.10389855431148	2.52604750425076	4.62994605856224	4.61978875828839	-1.50532030714588	-1.50532030714588	0	6
O14757	CHK1	CAMK	CAMKL	1.23028389976777	2.32536084047478	3.55564474024255	3.54060751224077	-1.44256120058842	-1.43059961605365	0.0445222703601881	5
P24723	PKC[eta]	AGC	PKC	1.26076994492676	2.24769750665966	3.50846745158642	3.44369749923271	-1.36772338014636	-1.40810236304188	0.1403076728569	10
Q96GD4	AurB/Aur1	Other	AUR	0.836217373957979	2.52604750425076	3.36226487820874	3.32605800136591	-1.39707026992056	-1.35951684681889	0.0745177638046538	3.77777777777778
Q05655	PKC[delta]	AGC	PKC	1.17019525776427	2.12581861632544	3.2960138740897	3.2839966563652	-1.32499398749902	-1.33387267045283	0.0130079899646184	17.7777777777778
P05129	PKC[gamma]	AGC	PKC	1.06694518545131	2.2338154248143	3.30076061026561	3.17263072694617	-1.36081469274168	-1.36673979213319	0.0653474339535895	9.88888888888889
P48729	CK1[alpha]	CK1	CK1	0.924774834242843	2.33415875670229	3.25893359094513	3.15242734085789	-1.36664738457011	-1.36148699853928	0.0123078925313493	6.88888888888889
P17252	PKC[alpha]	AGC	PKC	0.766708286996148	2.24025897447848	3.00696726147463	3.14026143380285	-1.27449450405658	-1.23522794526448	0.0517910799287574	22.3333333333333
P41743	PKC[iota]	AGC	PKC	0.510680721655897	2.30950889563381	2.8201896172897	2.91221858219046	-1.27720981429682	-1.29738653998155	0.0274478782119657	9.66666666666667
Q04759	PKC[theta]	AGC	PKC	0.277607555346005	2.4787176451094	2.75632520045541	2.91221858219046	-1.21029138560636	-1.2156398040751	0.0158303061314098	17.3333333333333
P27361	ERK1	CMGC	MAPK	0.414406516558289	2.27310730378707	2.68751382034536	2.89008413697621	-1.26183096586795	-1.3156678526786	0.070466567341976	6.88888888888889
Q05513	PKC[zeta]	AGC	PKC	0.205142971651559	2.52604750425076	2.73119047590232	2.87942606879415	-1.18341524401424	-1.18274292184485	0.00201696650818069	6.88888888888889
O14965	AurA/Aur2	Other	AUR	0.654317174866185	2.26726320211029	2.92158037697648	2.84163750790475	-1.35949503371459	-1.35949503371459	0	4
Q02156	PKC[epsilon]	AGC	PKC	0.523809733450444	2.28682889756093	2.81063863101137	2.84163750790475	-1.261229238181	-1.2920382149234	0.0455782295390384	15.8888888888889
Q16512	PKN1/PRK1	AGC	PKN	0.621697158125564	2.09691001300806	2.71860717113362	2.71860717113362	-1.34599707579949	-1.34599707579949	0.00267850831012974	4.5
O43930	PRKY	AGC	PKA	0.555380324096376	1.97742047673745	2.53280080083382	2.64897714741588	-1.30793340202994	-1.35688776147861	0.0768939315127298	7.66666666666667
O75116	ROCK2	AGC	DMPK	0.11836548606455	2.31411414712364	2.43247963318819	2.56415563401556	-1.07864836118532	-1.03454721522245	0.0975018461590612	4.4
Q96Q40	PFTAIRE2	CMGC	CDK	0.615159784559421	2.13111772636298	2.7462775109224	2.56288390695192	-1.34961670299054	-1.34477671869364	0.0145199528906927	3.88888888888889
Q13153	PAK1	STE	STE20	0.144979203541061	2.35372445215292	2.49870365569398	2.54668165995296	-1.13936525286185	-1.13936525286185	0	5
Q13464	ROCK1	AGC	DMPK	0.082662512768628	2.39794000867204	2.48060252144067	2.48060252144067	-1.03485585559782	-1.03485585559782	0	3
P15056	BRAF	TKL	RAF	0.0711830328524358	2.35372445215292	2.42490748500536	2.47056964563301	-1.01701893664555	-1.01916994456955	0.00426827402627849	3.77777777777778
P10398	ARAF	TKL	RAF	0.0691493068972985	2.35372445215292	2.42287375905022	2.46954415641532	-1.01916994456955	-1.01916994456955	0	4
Q96S38	RSKL1	AGC	RSKL	0.356547323513813	2.09691001300806	2.45345733652187	2.45345733652187	-1.2779618603429	-1.2779618603429	NA	3
Q9P1W9	Pim2	CAMK	PIM	0.348240390478204	2.12581861632544	2.47405900680364	2.44225225835853	-1.21531626798083	-1.21286701618651	0.0212899544236506	32.4444444444444
P17612	PKA[alpha]	AGC	PKA	0.460650647138143	1.93506523732708	2.39571588446523	2.41930306028756	-1.22784743902347	-1.22308756142303	0.0124933949929294	45.8888888888889
Q9HBY8	SGK2	AGC	SGK	0.539391759715738	1.91149980262406	2.4508915623398	2.41566877563247	-1.26474726187279	-1.28281124255989	0.063202620435603	11.5555555555556
O15264	p38[delta]	CMGC	MAPK	0.36313129471649	1.98595938996846	2.34909068468495	2.40849019100535	-1.2438909524542	-1.18680806375569	0.0682323836743272	6.11111111111111
Q8NI60	ADCK3	Atypical	ABC1	0.00398195834903026	2.24309831941986	2.24708027776889	2.39880946738467	-0.778476837988859	-0.829399822122344	0.0802106093238975	6.33333333333333
O95819	HGK/ZC1	STE	STE20	0.43170444982319	1.87898425755945	2.31068870738264	2.32521904410162	-1.28742861284245	-1.29358168380058	0.0150718841985622	3.83333333333333
O15111	IKK[alpha]	Other	IKK	0.383107672117983	1.93506523732708	2.31817290944507	2.24534593074457	-1.27697582679285	-1.2706879583813	0.00943180261731602	3.66666666666667
Q15131	CDK10	CMGC	CDK	0.352566313639614	2.0730200879985	2.42558640163811	2.23003219867056	-1.20337703935182	-1.28610836940516	0.175611582105722	4.22222222222222
P53778	p38[gamma]	CMGC	MAPK	0.263901662680398	2.08188317173298	2.34578483441338	2.21270270913378	-1.20023098522959	-1.25895049863357	0.117439026807967	3.25
Q15139	PKD1	CAMK	PKD	0.0987829682338515	2.18080195206767	2.27958492030152	2.20481541031758	-1.07653292435909	-1.07653292435909	0	5
Q9UBS0	p70S6K[beta]	AGC	RSK	0.381789741841044	1.92637686698642	2.30816660882746	2.20121128604875	-1.23243205492004	-1.22697709099985	0.0161582609764006	20.7777777777778
O75582	MSK1	AGC	RSK	0.105015931382993	2.12581861632544	2.23083454770843	2.18842499412941	-1.0967849369215	-1.0967849369215	0	6
P51812	RSK2	AGC	RSK	0.10100475831237	2.12581861632544	2.22682337463781	2.18309616062434	-1.10513830238111	-1.10513830238111	0	7
P51817	PRKX	AGC	PKA	0.276042322095974	1.92773625103276	2.20377857312873	2.17185589269621	-1.20927974963448	-1.23057406307927	0.0442864419081211	28.5555555555556
